before_tokenisasi,after_tokenisasi
amorim lebih berani memberikan kesempatan pada pemain muda akademi united,"['amorim', 'lebih', 'berani', 'memberikan', 'kesempatan', 'pada', 'pemain', 'muda', 'akademi', 'united']"
seharusnya main lebih agresif sejak awal jangan nunggu kebobolan dulu baru menyerang,"['seharusnya', 'main', 'lebih', 'agresif', 'sejak', 'awal', 'jangan', 'nunggu', 'kebobolan', 'dulu', 'baru', 'menyerang']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
bola sudah masuk dan baru kena dengkul zirkzeeselalu di curangi wasit ggmu,"['bola', 'sudah', 'masuk', 'dan', 'baru', 'kena', 'dengkul', 'zirkzeeselalu', 'di', 'curangi', 'wasit', 'ggmu']"
dorgu itu type pemain versatile sama kayak marcos llorente rodrigo deh paul di atm bisa main di beberapa posisi kalo lu main efootball pasti tau,"['dorgu', 'itu', 'type', 'pemain', 'versatile', 'sama', 'kayak', 'marcos', 'llorente', 'rodrigo', 'deh', 'paul', 'di', 'atm', 'bisa', 'main', 'di', 'beberapa', 'posisi', 'kalo', 'lu', 'main', 'efootball', 'pasti', 'tau']"
sumpah progres tim ini luar biasa dari pecundang jadi pesaing juara,"['sumpah', 'progres', 'tim', 'ini', 'luar', 'biasa', 'dari', 'pecundang', 'jadi', 'pesaing', 'juara']"
enggak buruk sih tapi juga enggak istimewa standar banget,"['enggak', 'buruk', 'sih', 'tapi', 'juga', 'enggak', 'istimewa', 'standar', 'banget']"
kebiasaan e mu mesti menit akhir cok,"['kebiasaan', 'e', 'mu', 'mesti', 'menit', 'akhir', 'cok']"
enggak ada striker mount ganti zirkzee amad ganti garnacho,"['enggak', 'ada', 'striker', 'mount', 'ganti', 'zirkzee', 'amad', 'ganti', 'garnacho']"
tim kutukan,"['tim', 'kutukan']"
onana makin percaya diri tapi defense masih mudah ditembus kemenangan harus segera diperbaiki,"['onana', 'makin', 'percaya', 'diri', 'tapi', 'defense', 'masih', 'mudah', 'ditembus', 'kemenangan', 'harus', 'segera', 'diperbaiki']"
amorim kasih tim lebih stabil tapi saya khawatir kalau defense masih bikin kesalahan tapi pertahanan harus diperbaiki,"['amorim', 'kasih', 'tim', 'lebih', 'stabil', 'tapi', 'saya', 'khawatir', 'kalau', 'defense', 'masih', 'bikin', 'kesalahan', 'tapi', 'pertahanan', 'harus', 'diperbaiki']"
formasi dan permainan makin jelas tapi tetap banyak yang harus diimprove ini langkah yang tepat tapi butuh waktu,"['formasi', 'dan', 'permainan', 'makin', 'jelas', 'tapi', 'tetap', 'banyak', 'yang', 'harus', 'diimprove', 'ini', 'langkah', 'yang', 'tepat', 'tapi', 'butuh', 'waktu']"
terus antony,"['terus', 'antony']"
tapi banyak yang buta bang bilang arteta dapat apa katanya,"['tapi', 'banyak', 'yang', 'buta', 'bang', 'bilang', 'arteta', 'dapat', 'apa', 'katanya']"
fa dan european league reality,"['fa', 'dan', 'european', 'league', 'reality']"
enggak usah pinjam pinjam sudah langsung saja jual sudah enggak ada hati main di emyu cok orang ini,"['enggak', 'usah', 'pinjam', 'pinjam', 'sudah', 'langsung', 'saja', 'jual', 'sudah', 'enggak', 'ada', 'hati', 'main', 'di', 'emyu', 'cok', 'orang', 'ini']"
buildup play lebih variatif tidak monoton seperti dulu,"['buildup', 'play', 'lebih', 'variatif', 'tidak', 'monoton', 'seperti', 'dulu']"
jadon sancho harusnya dikasih lebih banyak menit bermain masih potensial,"['jadon', 'sancho', 'harusnya', 'dikasih', 'lebih', 'banyak', 'menit', 'bermain', 'masih', 'potensial']"
mazraoui dengan crossesnya benerbener mengasih dimensi baru di sisi kanan sayap mu makin hidup,"['mazraoui', 'dengan', 'crossesnya', 'benerbener', 'mengasih', 'dimensi', 'baru', 'di', 'sisi', 'kanan', 'sayap', 'mu', 'makin', 'hidup']"
malu banget lihat pertandingan ini mainnya kayak tim tarkam,"['malu', 'banget', 'lihat', 'pertandingan', 'ini', 'mainnya', 'kayak', 'tim', 'tarkam']"
offside,['offside']
serangan lebih variatif tidak hanya mengandalkan sisi sayap,"['serangan', 'lebih', 'variatif', 'tidak', 'hanya', 'mengandalkan', 'sisi', 'sayap']"
dia melakukan tugas striker masuk kesana plus deh dalam keadaan meluncur bang susah pastinya mikir n ngendaliin anggota badan dalam sepersekian detik benar unlucky kalo striker gedebog pisang mungkin dia cuma diam di dekat titik pinalti,"['dia', 'melakukan', 'tugas', 'striker', 'masuk', 'kesana', 'plus', 'deh', 'dalam', 'keadaan', 'meluncur', 'bang', 'susah', 'pastinya', 'mikir', 'n', 'ngendaliin', 'anggota', 'badan', 'dalam', 'sepersekian', 'detik', 'benar', 'unlucky', 'kalo', 'striker', 'gedebog', 'pisang', 'mungkin', 'dia', 'cuma', 'diam', 'di', 'dekat', 'titik', 'pinalti']"
jlk bro rasy cf dia selalu bilang enggak bisa kali cf dia murni di lwf sering di jadikan cf dari jaman ole bapuk dibanding lef,"['jlk', 'bro', 'rasy', 'cf', 'dia', 'selalu', 'bilang', 'enggak', 'bisa', 'kali', 'cf', 'dia', 'murni', 'di', 'lwf', 'sering', 'di', 'jadikan', 'cf', 'dari', 'jaman', 'ole', 'bapuk', 'dibanding', 'lef']"
benarsdah mentok ini pemain tapi mau harap garnaco dan amad masih susah untuk bersaing juga serba salah sih kalau bisa kontrak mitoma dan sayap kanannya girona bulan januari,"['benarsdah', 'mentok', 'ini', 'pemain', 'tapi', 'mau', 'harap', 'garnaco', 'dan', 'amad', 'masih', 'susah', 'untuk', 'bersaing', 'juga', 'serba', 'salah', 'sih', 'kalau', 'bisa', 'kontrak', 'mitoma', 'dan', 'sayap', 'kanannya', 'girona', 'bulan', 'januari']"
hariku cerahh matahari bersinar,"['hariku', 'cerahh', 'matahari', 'bersinar']"
amorim kasih tim lebih banyak kontrol tapi defense masih harus banyak perbaikan tapi masih jauh dari sempurna,"['amorim', 'kasih', 'tim', 'lebih', 'banyak', 'kontrol', 'tapi', 'defense', 'masih', 'harus', 'banyak', 'perbaikan', 'tapi', 'masih', 'jauh', 'dari', 'sempurna']"
kekalahan sangat buruk tim terlalu banyak kesalahan dan pertahanan benarbenar hancur amorim harus segera perbaiki,"['kekalahan', 'sangat', 'buruk', 'tim', 'terlalu', 'banyak', 'kesalahan', 'dan', 'pertahanan', 'benarbenar', 'hancur', 'amorim', 'harus', 'segera', 'perbaiki']"
cocok jadi supersub saja ini case untuk sekarang,"['cocok', 'jadi', 'supersub', 'saja', 'ini', 'case', 'untuk', 'sekarang']"
wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi sudah mengakak,"['wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw', 'pagi', 'pagi', 'sudah', 'mengakak']"
mindset dongo di agung agungkan bro,"['mindset', 'dongo', 'di', 'agung', 'agungkan', 'bro']"
tutor refund vidio tahun bang biar mu juara wkwk,"['tutor', 'refund', 'vidio', 'tahun', 'bang', 'biar', 'mu', 'juara', 'wkwk']"
kan cuma tanya doang soalnya mu mungkin saja degradasi nih kalo mau main di eropa kan harus juara uel begitu lho maseh,"['kan', 'cuma', 'tanya', 'doang', 'soalnya', 'mu', 'mungkin', 'saja', 'degradasi', 'nih', 'kalo', 'mau', 'main', 'di', 'eropa', 'kan', 'harus', 'juara', 'uel', 'begitu', 'lho', 'maseh']"
onana every whare,"['onana', 'every', 'whare']"
yang penting onana raspot starter supaya tercipta hiburan tiap match,"['yang', 'penting', 'onana', 'raspot', 'starter', 'supaya', 'tercipta', 'hiburan', 'tiap', 'match']"
ruben amorim semakin menunjukkan filosofi permainannya lini tengah terlihat lebih solid meskipun kami masih kesulitan di lini serang,"['ruben', 'amorim', 'semakin', 'menunjukkan', 'filosofi', 'permainannya', 'lini', 'tengah', 'terlihat', 'lebih', 'solid', 'meskipun', 'kami', 'masih', 'kesulitan', 'di', 'lini', 'serang']"
saya sedikit kecewa dengan hasil imbang namun saya melihat banyak perubahan positif dalam cara bermain mu di bawah ruben amorim,"['saya', 'sedikit', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'saya', 'melihat', 'banyak', 'perubahan', 'positif', 'dalam', 'cara', 'bermain', 'mu', 'di', 'bawah', 'ruben', 'amorim']"
iya benar belum sampai akhir musim awkwkkw ten hag stay musim,"['iya', 'benar', 'belum', 'sampai', 'akhir', 'musim', 'awkwkkw', 'ten', 'hag', 'stay', 'musim']"
pelatihnya yang badut,"['pelatihnya', 'yang', 'badut']"
tapi tadi build up sudah bisa banggue saja kaget emyu unggul posession daripada brighton,"['tapi', 'tadi', 'build', 'up', 'sudah', 'bisa', 'banggue', 'saja', 'kaget', 'emyu', 'unggul', 'posession', 'daripada', 'brighton']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
memang ini yang tak tunggu tapi entah kenapa raspot melulu yang main,"['memang', 'ini', 'yang', 'tak', 'tunggu', 'tapi', 'entah', 'kenapa', 'raspot', 'melulu', 'yang', 'main']"
nah yang heran tuh begitu padahal brighton prlatih baru tapi permainan enak,"['nah', 'yang', 'heran', 'tuh', 'begitu', 'padahal', 'brighton', 'prlatih', 'baru', 'tapi', 'permainan', 'enak']"
info dari ig sebelah katanya gaji dibayar setengah min,"['info', 'dari', 'ig', 'sebelah', 'katanya', 'gaji', 'dibayar', 'setengah', 'min']"
kekalahan dan kita enggak bisa terus begini kita sangat mudah dibobol harus ada perbaikan di lini belakang,"['kekalahan', 'dan', 'kita', 'enggak', 'bisa', 'terus', 'begini', 'kita', 'sangat', 'mudah', 'dibobol', 'harus', 'ada', 'perbaikan', 'di', 'lini', 'belakang']"
kenapa rashford selalu starter ya minim gol minim asist,"['kenapa', 'rashford', 'selalu', 'starter', 'ya', 'minim', 'gol', 'minim', 'asist']"
energi dan kreativitas dalam tim ini meningkat drastis bangga melihatnya,"['energi', 'dan', 'kreativitas', 'dalam', 'tim', 'ini', 'meningkat', 'drastis', 'bangga', 'melihatnya']"
ya seperti biasa setelah ini lihat rashford beraksi buat villa dengan sentuhan magic nyaseperti pemain mu lainnya yang terbuang,"['ya', 'seperti', 'biasa', 'setelah', 'ini', 'lihat', 'rashford', 'beraksi', 'buat', 'villa', 'dengan', 'sentuhan', 'magic', 'nyaseperti', 'pemain', 'mu', 'lainnya', 'yang', 'terbuang']"
memang sudah wajib diparkir rashford sama casemiro jangan dikasih main dari awal,"['memang', 'sudah', 'wajib', 'diparkir', 'rashford', 'sama', 'casemiro', 'jangan', 'dikasih', 'main', 'dari', 'awal']"
poor club,"['poor', 'club']"
baru kali ini gue dukung lo memang ini raspod sudah enggak ketolong coba saja lo di jaman saf sudah habis lo di semprot dan di buang,"['baru', 'kali', 'ini', 'gue', 'dukung', 'lo', 'memang', 'ini', 'raspod', 'sudah', 'enggak', 'ketolong', 'coba', 'saja', 'lo', 'di', 'jaman', 'saf', 'sudah', 'habis', 'lo', 'di', 'semprot', 'dan', 'di', 'buang']"
sudah kubilang zirkzee martial v,"['sudah', 'kubilang', 'zirkzee', 'martial', 'v']"
setidaknya meringankan pengeluaran dari gaji di tanggung chelsea dan juga wajib beli sudah lumayan bang karena dengan performa yang sekarang sulit juga langsung jual walaupun memang harga beli enggak sesuai sama performa nya saat sebelum di mu,"['setidaknya', 'meringankan', 'pengeluaran', 'dari', 'gaji', 'di', 'tanggung', 'chelsea', 'dan', 'juga', 'wajib', 'beli', 'sudah', 'lumayan', 'bang', 'karena', 'dengan', 'performa', 'yang', 'sekarang', 'sulit', 'juga', 'langsung', 'jual', 'walaupun', 'memang', 'harga', 'beli', 'enggak', 'sesuai', 'sama', 'performa', 'nya', 'saat', 'sebelum', 'di', 'mu']"
definitely agree with that one,"['definitely', 'agree', 'with', 'that', 'one']"
dalot mah sudah mentok wkwk gue saja lebih suka awb dulu walaupun menyerang enggak bagus seenggaknya tanggung jawab di daerahnya tapi banyak fan bilang pertahanan terbaik adalah menyerang makan tuh gol pertama kemana dalot off position habis menyerang,"['dalot', 'mah', 'sudah', 'mentok', 'wkwk', 'gue', 'saja', 'lebih', 'suka', 'awb', 'dulu', 'walaupun', 'menyerang', 'enggak', 'bagus', 'seenggaknya', 'tanggung', 'jawab', 'di', 'daerahnya', 'tapi', 'banyak', 'fan', 'bilang', 'pertahanan', 'terbaik', 'adalah', 'menyerang', 'makan', 'tuh', 'gol', 'pertama', 'kemana', 'dalot', 'off', 'position', 'habis', 'menyerang']"
kayaknya memang dua nya bermasalah lagian pemain yang cidera juga itu saja di tambah tim fisiotrapinya juga enggak bagus contohnya tim lain di pl enggak sebermasalah ini,"['kayaknya', 'memang', 'dua', 'nya', 'bermasalah', 'lagian', 'pemain', 'yang', 'cidera', 'juga', 'itu', 'saja', 'di', 'tambah', 'tim', 'fisiotrapinya', 'juga', 'enggak', 'bagus', 'contohnya', 'tim', 'lain', 'di', 'pl', 'enggak', 'sebermasalah', 'ini']"
ten hag main boring tapi amorim main ngawur mending boring daripada malumaluin,"['ten', 'hag', 'main', 'boring', 'tapi', 'amorim', 'main', 'ngawur', 'mending', 'boring', 'daripada', 'malumaluin']"
sudah kubilang zirkzee martial v,"['sudah', 'kubilang', 'zirkzee', 'martial', 'v']"
wkwkkwkw gas deh,"['wkwkkwkw', 'gas', 'deh']"
serangan balik lebih cepat dibanding era ten hag lebih efisien,"['serangan', 'balik', 'lebih', 'cepat', 'dibanding', 'era', 'ten', 'hag', 'lebih', 'efisien']"
dorgu kok di wingback kanan dalot kalau di wingback kiri hancur main nya,"['dorgu', 'kok', 'di', 'wingback', 'kanan', 'dalot', 'kalau', 'di', 'wingback', 'kiri', 'hancur', 'main', 'nya']"
kekalahan dan kita enggak bisa terus begini kita sangat mudah dibobol harus ada perbaikan di lini belakang,"['kekalahan', 'dan', 'kita', 'enggak', 'bisa', 'terus', 'begini', 'kita', 'sangat', 'mudah', 'dibobol', 'harus', 'ada', 'perbaikan', 'di', 'lini', 'belakang']"
mereka beli lebih dari masa dijual wkwkw,"['mereka', 'beli', 'lebih', 'dari', 'masa', 'dijual', 'wkwkw']"
ogah menonton kalo raspot starter capek gue,"['ogah', 'menonton', 'kalo', 'raspot', 'starter', 'capek', 'gue']"
jujur ajasi kalau dia nendang selalu yakin gua cuma jarang saja ngeshoot jarak jauh kayak apa kayak,"['jujur', 'ajasi', 'kalau', 'dia', 'nendang', 'selalu', 'yakin', 'gua', 'cuma', 'jarang', 'saja', 'ngeshoot', 'jarak', 'jauh', 'kayak', 'apa', 'kayak']"
setpiece masih jadi masalah besar bahkan lebih buruk dari era ten hag,"['setpiece', 'masih', 'jadi', 'masalah', 'besar', 'bahkan', 'lebih', 'buruk', 'dari', 'era', 'ten', 'hag']"
saya optimis dengan perubahan yang dibawa ruben amorim meskipun ada banyak kekurangan saya yakin dia bisa memperbaiki tim ke depannya,"['saya', 'optimis', 'dengan', 'perubahan', 'yang', 'dibawa', 'ruben', 'amorim', 'meskipun', 'ada', 'banyak', 'kekurangan', 'saya', 'yakin', 'dia', 'bisa', 'memperbaiki', 'tim', 'ke', 'depannya']"
mental tim masih naik turun belum stabil seperti yang diharapkan,"['mental', 'tim', 'masih', 'naik', 'turun', 'belum', 'stabil', 'seperti', 'yang', 'diharapkan']"
impas lah kemarin zirkzee yang bikin memang sekarang dia juga yang bikin gagal menang,"['impas', 'lah', 'kemarin', 'zirkzee', 'yang', 'bikin', 'memang', 'sekarang', 'dia', 'juga', 'yang', 'bikin', 'gagal', 'menang']"
memang pelatih kocakkenapa enggak jadi dpr saja sih,"['memang', 'pelatih', 'kocakkenapa', 'enggak', 'jadi', 'dpr', 'saja', 'sih']"
positip ini ten hag yang bermasalah karena semua keinginannya sudah dituruti tapi masih tetap saja begini,"['positip', 'ini', 'ten', 'hag', 'yang', 'bermasalah', 'karena', 'semua', 'keinginannya', 'sudah', 'dituruti', 'tapi', 'masih', 'tetap', 'saja', 'begini']"
betul sekali pemirsaah,"['betul', 'sekali', 'pemirsaah']"
bruno babak enggak mengapai hilang bola mulu sudah paling benar masukin super sub main crossing saja cukup harus banget bergantumg sama bruno,"['bruno', 'babak', 'enggak', 'mengapai', 'hilang', 'bola', 'mulu', 'sudah', 'paling', 'benar', 'masukin', 'super', 'sub', 'main', 'crossing', 'saja', 'cukup', 'harus', 'banget', 'bergantumg', 'sama', 'bruno']"
gue menonton bareng bang lihat jelas waktu replay itu gerakan reflek kaget bola nya ngarah kedia lihat saja di replay gerakan tangan dia menutupi muka,"['gue', 'menonton', 'bareng', 'bang', 'lihat', 'jelas', 'waktu', 'replay', 'itu', 'gerakan', 'reflek', 'kaget', 'bola', 'nya', 'ngarah', 'kedia', 'lihat', 'saja', 'di', 'replay', 'gerakan', 'tangan', 'dia', 'menutupi', 'muka']"
amorim masakannya makin enak,"['amorim', 'masakannya', 'makin', 'enak']"
loh kok main ya tadi pagi,"['loh', 'kok', 'main', 'ya', 'tadi', 'pagi']"
ten hag terlalu defensif amorim berani bermain terbuka dan menyerang,"['ten', 'hag', 'terlalu', 'defensif', 'amorim', 'berani', 'bermain', 'terbuka', 'dan', 'menyerang']"
aturannya bagaimana sih bukannya bola sudah ngelewatin semua pemain lawan enggak ada offside lagi,"['aturannya', 'bagaimana', 'sih', 'bukannya', 'bola', 'sudah', 'ngelewatin', 'semua', 'pemain', 'lawan', 'enggak', 'ada', 'offside', 'lagi']"
ruben amorim harus lebih tegas dalam rotasi pemain lini serang yang kurang tajam menjadi masalah besar di laga pertama,"['ruben', 'amorim', 'harus', 'lebih', 'tegas', 'dalam', 'rotasi', 'pemain', 'lini', 'serang', 'yang', 'kurang', 'tajam', 'menjadi', 'masalah', 'besar', 'di', 'laga', 'pertama']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
prattama bukan opsi tapi wajib,"['prattama', 'bukan', 'opsi', 'tapi', 'wajib']"
kecewa berat dengan keputusan pecat ten hag amorim belum level mu,"['kecewa', 'berat', 'dengan', 'keputusan', 'pecat', 'ten', 'hag', 'amorim', 'belum', 'level', 'mu']"
hoki enggak ada var wkwk,"['hoki', 'enggak', 'ada', 'var', 'wkwk']"
kemenangan besar tapi kita tetap harus waspada pertahanan harus lebih solid agar enggak kebobolan lagi,"['kemenangan', 'besar', 'tapi', 'kita', 'tetap', 'harus', 'waspada', 'pertahanan', 'harus', 'lebih', 'solid', 'agar', 'enggak', 'kebobolan', 'lagi']"
kemenangan penting tapi kita masih sering kebobolan jangan biarkan ini jadi masalah,"['kemenangan', 'penting', 'tapi', 'kita', 'masih', 'sering', 'kebobolan', 'jangan', 'biarkan', 'ini', 'jadi', 'masalah']"
amorim lebih fleksibel dalam mengganti skema saat pertandingan berlangsung,"['amorim', 'lebih', 'fleksibel', 'dalam', 'mengganti', 'skema', 'saat', 'pertandingan', 'berlangsung']"
saya sedikit kecewa dengan hasil imbang namun saya melihat peningkatan besar di lini pertahanan dan kreativitas dari bruno fernandes,"['saya', 'sedikit', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'saya', 'melihat', 'peningkatan', 'besar', 'di', 'lini', 'pertahanan', 'dan', 'kreativitas', 'dari', 'bruno', 'fernandes']"
ruben amorim membawa filosofi baru yang lebih menyerang namun hasil imbang ini sedikit mengecewakan,"['ruben', 'amorim', 'membawa', 'filosofi', 'baru', 'yang', 'lebih', 'menyerang', 'namun', 'hasil', 'imbang', 'ini', 'sedikit', 'mengecewakan']"
enggak akan digubris bro meski ada pemain offside tapi yang nerima harry dan itu langsung goal bukan rebond yang mengarah ke pemain yang offside,"['enggak', 'akan', 'digubris', 'bro', 'meski', 'ada', 'pemain', 'offside', 'tapi', 'yang', 'nerima', 'harry', 'dan', 'itu', 'langsung', 'goal', 'bukan', 'rebond', 'yang', 'mengarah', 'ke', 'pemain', 'yang', 'offside']"
antony tuker mudryk saja,"['antony', 'tuker', 'mudryk', 'saja']"
kalau enggak mau sabar jangan jadi fan mu orang sabar pasti fan mu,"['kalau', 'enggak', 'mau', 'sabar', 'jangan', 'jadi', 'fan', 'mu', 'orang', 'sabar', 'pasti', 'fan', 'mu']"
tutor refund vidio tahun bang biar mu juara wkwk,"['tutor', 'refund', 'vidio', 'tahun', 'bang', 'biar', 'mu', 'juara', 'wkwk']"
kalah mulu lawan brighton heran,"['kalah', 'mulu', 'lawan', 'brighton', 'heran']"
cuma bisa berdoa yang terbaik enggak degradasi saja alhamdulillah moorhouse chido yuk debut,"['cuma', 'bisa', 'berdoa', 'yang', 'terbaik', 'enggak', 'degradasi', 'saja', 'alhamdulillah', 'moorhouse', 'chido', 'yuk', 'debut']"
harusnya umpan terobosan sih itu haha,"['harusnya', 'umpan', 'terobosan', 'sih', 'itu', 'haha']"
dorgu meskipun muda punya tekad dan kualitas nanti bisa jadi pemain yang sering dipakai nih di tim utama,"['dorgu', 'meskipun', 'muda', 'punya', 'tekad', 'dan', 'kualitas', 'nanti', 'bisa', 'jadi', 'pemain', 'yang', 'sering', 'dipakai', 'nih', 'di', 'tim', 'utama']"
pelatih badut,"['pelatih', 'badut']"
kita sudah mengkritik emyu dari dulumereka baru lahir bang mereka nge fan karena jerseynya bagus doang persetan sama prestasi gua jadi bingung mereka itu nge fan sama emyu apa ten hag,"['kita', 'sudah', 'mengkritik', 'emyu', 'dari', 'dulumereka', 'baru', 'lahir', 'bang', 'mereka', 'nge', 'fan', 'karena', 'jerseynya', 'bagus', 'doang', 'persetan', 'sama', 'prestasi', 'gua', 'jadi', 'bingung', 'mereka', 'itu', 'nge', 'fan', 'sama', 'emyu', 'apa', 'ten', 'hag']"
menghibur diri mas,"['menghibur', 'diri', 'mas']"
lega sekali ini anak move dari mu,"['lega', 'sekali', 'ini', 'anak', 'move', 'dari', 'mu']"
sudah sih jelasin sama brighton minggu kemarin masih saja di proses mulu,"['sudah', 'sih', 'jelasin', 'sama', 'brighton', 'minggu', 'kemarin', 'masih', 'saja', 'di', 'proses', 'mulu']"
gaya permainan lebih menarik tapi masih butuh konsistensi,"['gaya', 'permainan', 'lebih', 'menarik', 'tapi', 'masih', 'butuh', 'konsistensi']"
saya percaya dengan filosofi ruben amorim bruno fernandes semakin kreatif namun lini serang masih perlu lebih banyak peluang di depan gawang,"['saya', 'percaya', 'dengan', 'filosofi', 'ruben', 'amorim', 'bruno', 'fernandes', 'semakin', 'kreatif', 'namun', 'lini', 'serang', 'masih', 'perlu', 'lebih', 'banyak', 'peluang', 'di', 'depan', 'gawang']"
saya melihat beberapa perubahan positif dalam permainan tim meskipun hasil imbang ini membuat saya sedikit kecewa,"['saya', 'melihat', 'beberapa', 'perubahan', 'positif', 'dalam', 'permainan', 'tim', 'meskipun', 'hasil', 'imbang', 'ini', 'membuat', 'saya', 'sedikit', 'kecewa']"
joshua zirkzee malas lari tak ada gairah tidak ada fighting spirit enggak mau duel malas pressing mengingatkan saya pada sih nganu mas rizal,"['joshua', 'zirkzee', 'malas', 'lari', 'tak', 'ada', 'gairah', 'tidak', 'ada', 'fighting', 'spirit', 'enggak', 'mau', 'duel', 'malas', 'pressing', 'mengingatkan', 'saya', 'pada', 'sih', 'nganu', 'mas', 'rizal']"
gajadi m,"['gajadi', 'm']"
iyya sih,"['iyya', 'sih']"
tahi tahi tahi,"['tahi', 'tahi', 'tahi']"
lah laya tapi fan mana peduli yang bisa di desak ya pelatih kalo memang niatnya nyelamatin mu kenapa kemarin dari arab di tolak deh itu saja,"['lah', 'laya', 'tapi', 'fan', 'mana', 'peduli', 'yang', 'bisa', 'di', 'desak', 'ya', 'pelatih', 'kalo', 'memang', 'niatnya', 'nyelamatin', 'mu', 'kenapa', 'kemarin', 'dari', 'arab', 'di', 'tolak', 'deh', 'itu', 'saja']"
pundit yang kadang mengomong nya nguawur saja sudah berbicara tentang fakta,"['pundit', 'yang', 'kadang', 'mengomong', 'nya', 'nguawur', 'saja', 'sudah', 'berbicara', 'tentang', 'fakta']"
havertz karma enggak bisa golin kebanyakan drama,"['havertz', 'karma', 'enggak', 'bisa', 'golin', 'kebanyakan', 'drama']"
garna kiri amad kanan,"['garna', 'kiri', 'amad', 'kanan']"
amorim lebih taktis dalam mengatur momentum pertandingan,"['amorim', 'lebih', 'taktis', 'dalam', 'mengatur', 'momentum', 'pertandingan']"
sama karena enggak pernah menonton liga prancis harga juga lumayan mahal mudahan saja memang bagus tapi logikanya kalo bagus psg enggak mungkin beli dmf baru apalagi ugarte ini baru dibeli,"['sama', 'karena', 'enggak', 'pernah', 'menonton', 'liga', 'prancis', 'harga', 'juga', 'lumayan', 'mahal', 'mudahan', 'saja', 'memang', 'bagus', 'tapi', 'logikanya', 'kalo', 'bagus', 'psg', 'enggak', 'mungkin', 'beli', 'dmf', 'baru', 'apalagi', 'ugarte', 'ini', 'baru', 'dibeli']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
untung left wing,"['untung', 'left', 'wing']"
kalo lihat bola naik baru magu maju enggak offside bang tapi kalo lihat posisi begini ya offside kalo diambil sih dalot tadi offside jelas,"['kalo', 'lihat', 'bola', 'naik', 'baru', 'magu', 'maju', 'enggak', 'offside', 'bang', 'tapi', 'kalo', 'lihat', 'posisi', 'begini', 'ya', 'offside', 'kalo', 'diambil', 'sih', 'dalot', 'tadi', 'offside', 'jelas']"
sih intens apa sih champion iya kalo lawan team kayak madrid bayern tapi kalo ketemu kayak club brugge atau yang menengah di champion yakin permainannya enggak sekeras team kecil epl yang dikit ngepress main body,"['sih', 'intens', 'apa', 'sih', 'champion', 'iya', 'kalo', 'lawan', 'team', 'kayak', 'madrid', 'bayern', 'tapi', 'kalo', 'ketemu', 'kayak', 'club', 'brugge', 'atau', 'yang', 'menengah', 'di', 'champion', 'yakin', 'permainannya', 'enggak', 'sekeras', 'team', 'kecil', 'epl', 'yang', 'dikit', 'ngepress', 'main', 'body']"
pasti entar gara pelatih padahal pemain saja yang masih bapuk dan egois,"['pasti', 'entar', 'gara', 'pelatih', 'padahal', 'pemain', 'saja', 'yang', 'masih', 'bapuk', 'dan', 'egois']"
albert bagaimana enggak tumpul suplai bola ke mereka saja tidak ada yang lebih lawaknya seorang striker mesti jemput bola dari bawah ke depan dari situ saja sudah enggak logis,"['albert', 'bagaimana', 'enggak', 'tumpul', 'suplai', 'bola', 'ke', 'mereka', 'saja', 'tidak', 'ada', 'yang', 'lebih', 'lawaknya', 'seorang', 'striker', 'mesti', 'jemput', 'bola', 'dari', 'bawah', 'ke', 'depan', 'dari', 'situ', 'saja', 'sudah', 'enggak', 'logis']"
ruben amorim sudah mulai memperkenalkan permainan yang lebih menyerang meskipun hanya imbang saya rasa tim ini akan berkembang lebih baik,"['ruben', 'amorim', 'sudah', 'mulai', 'memperkenalkan', 'permainan', 'yang', 'lebih', 'menyerang', 'meskipun', 'hanya', 'imbang', 'saya', 'rasa', 'tim', 'ini', 'akan', 'berkembang', 'lebih', 'baik']"
dia melakukan tugas striker masuk kesana plus deh dalam keadaan meluncur bang susah pastinya mikir n ngendaliin anggota badan dalam sepersekian detik benar unlucky kalo striker gedebog pisang mungkin dia cuma diam di dekat titik pinalti,"['dia', 'melakukan', 'tugas', 'striker', 'masuk', 'kesana', 'plus', 'deh', 'dalam', 'keadaan', 'meluncur', 'bang', 'susah', 'pastinya', 'mikir', 'n', 'ngendaliin', 'anggota', 'badan', 'dalam', 'sepersekian', 'detik', 'benar', 'unlucky', 'kalo', 'striker', 'gedebog', 'pisang', 'mungkin', 'dia', 'cuma', 'diam', 'di', 'dekat', 'titik', 'pinalti']"
